"ParticipantStudyID","Date","Attendance"
268053,"2019.11.22",NA
268053,"2019.11.20",NA
268053,"2019.11.18",NA
268053,"2019.11.15",NA
268053,"2019.11.13",NA
268053,"2019.11.11",NA
268053,"2019.11.08",NA
268053,"2019.11.06",NA
268053,"2019.11.04",NA
268053,"2019.11.01",NA
268053,"2019.10.30",NA
268053,"2019.10.18",NA
268053,"2019.10.16",NA
268053,"2019.10.14",NA
268053,"2019.10.11",NA
268053,"2019.10.09",NA
268053,"2019.10.07",NA
268053,"2019.10.04",NA
268053,"2019.10.02",NA
268053,"2019.09.30",NA
268053,"2019.09.27",NA
268053,"2019.09.25",NA
268053,"2019.09.23",NA
268053,"2019.09.16",NA
968233,"2019.11.22",0
968233,"2019.11.20",1
968233,"2019.11.18",1
968233,"2019.11.15",1
968233,"2019.11.13",0
968233,"2019.11.11",0
968233,"2019.11.08",1
968233,"2019.11.06",1
968233,"2019.11.04",1
968233,"2019.11.01",1
968233,"2019.10.30",1
968233,"2019.10.18",1
968233,"2019.10.16",1
968233,"2019.10.14",1
968233,"2019.10.11",1
968233,"2019.10.09",1
968233,"2019.10.07",1
968233,"2019.10.04",1
968233,"2019.10.02",1
968233,"2019.09.30",1
968233,"2019.09.27",1
968233,"2019.09.25",1
968233,"2019.09.23",1
968233,"2019.09.16",1
879595,"2019.11.22",NA
879595,"2019.11.20",NA
879595,"2019.11.18",NA
879595,"2019.11.15",NA
879595,"2019.11.13",NA
879595,"2019.11.11",NA
879595,"2019.11.08",NA
879595,"2019.11.06",NA
879595,"2019.11.04",NA
879595,"2019.11.01",NA
879595,"2019.10.30",NA
879595,"2019.10.18",NA
879595,"2019.10.16",NA
879595,"2019.10.14",NA
879595,"2019.10.11",NA
879595,"2019.10.09",NA
879595,"2019.10.07",NA
879595,"2019.10.04",NA
879595,"2019.10.02",NA
879595,"2019.09.30",NA
879595,"2019.09.27",NA
879595,"2019.09.25",NA
879595,"2019.09.23",NA
879595,"2019.09.16",NA
759128,"2019.11.22",0
759128,"2019.11.20",0
759128,"2019.11.18",0
759128,"2019.11.15",0
759128,"2019.11.13",0
759128,"2019.11.11",1
759128,"2019.11.08",0
759128,"2019.11.06",0
759128,"2019.11.04",0
759128,"2019.11.01",0
759128,"2019.10.30",1
759128,"2019.10.18",1
759128,"2019.10.16",1
759128,"2019.10.14",1
759128,"2019.10.11",1
759128,"2019.10.09",1
759128,"2019.10.07",1
759128,"2019.10.04",1
759128,"2019.10.02",1
759128,"2019.09.30",1
759128,"2019.09.27",1
759128,"2019.09.25",1
759128,"2019.09.23",1
759128,"2019.09.16",1
592634,"2019.11.22",1
592634,"2019.11.20",1
592634,"2019.11.18",0
592634,"2019.11.15",0
592634,"2019.11.13",1
592634,"2019.11.11",0
592634,"2019.11.08",1
592634,"2019.11.06",1
592634,"2019.11.04",1
592634,"2019.11.01",1
592634,"2019.10.30",0
592634,"2019.10.18",1
592634,"2019.10.16",1
592634,"2019.10.14",1
592634,"2019.10.11",0
592634,"2019.10.09",1
592634,"2019.10.07",1
592634,"2019.10.04",1
592634,"2019.10.02",1
592634,"2019.09.30",1
592634,"2019.09.27",1
592634,"2019.09.25",1
592634,"2019.09.23",1
592634,"2019.09.16",0
652659,"2019.11.22",0
652659,"2019.11.20",0
652659,"2019.11.18",0
652659,"2019.11.15",0
652659,"2019.11.13",0
652659,"2019.11.11",0
652659,"2019.11.08",0
652659,"2019.11.06",1
652659,"2019.11.04",0
652659,"2019.11.01",0
652659,"2019.10.30",1
652659,"2019.10.18",0
652659,"2019.10.16",0
652659,"2019.10.14",0
652659,"2019.10.11",0
652659,"2019.10.09",0
652659,"2019.10.07",0
652659,"2019.10.04",0
652659,"2019.10.02",0
652659,"2019.09.30",0
652659,"2019.09.27",0
652659,"2019.09.25",1
652659,"2019.09.23",1
652659,"2019.09.16",1
839952,"2019.11.22",1
839952,"2019.11.20",1
839952,"2019.11.18",1
839952,"2019.11.15",1
839952,"2019.11.13",1
839952,"2019.11.11",1
839952,"2019.11.08",1
839952,"2019.11.06",1
839952,"2019.11.04",1
839952,"2019.11.01",1
839952,"2019.10.30",1
839952,"2019.10.18",1
839952,"2019.10.16",1
839952,"2019.10.14",1
839952,"2019.10.11",1
839952,"2019.10.09",1
839952,"2019.10.07",1
839952,"2019.10.04",1
839952,"2019.10.02",1
839952,"2019.09.30",1
839952,"2019.09.27",1
839952,"2019.09.25",1
839952,"2019.09.23",1
839952,"2019.09.16",1
673725,"2019.11.22",1
673725,"2019.11.20",1
673725,"2019.11.18",0
673725,"2019.11.15",0
673725,"2019.11.13",0
673725,"2019.11.11",1
673725,"2019.11.08",0
673725,"2019.11.06",1
673725,"2019.11.04",1
673725,"2019.11.01",1
673725,"2019.10.30",1
673725,"2019.10.18",1
673725,"2019.10.16",1
673725,"2019.10.14",1
673725,"2019.10.11",0
673725,"2019.10.09",0
673725,"2019.10.07",0
673725,"2019.10.04",1
673725,"2019.10.02",1
673725,"2019.09.30",1
673725,"2019.09.27",1
673725,"2019.09.25",1
673725,"2019.09.23",1
673725,"2019.09.16",1
148917,"2019.11.22",0
148917,"2019.11.20",1
