"ParticipantStudyID","EverLoggedIn","Date","TimesViewed","PerCentViewed"
268053,1,"2019.09.16",2,100
268053,1,"2019.09.18",1,100
268053,1,"2019.09.20",2,100
268053,1,"2019.09.23",1,100
268053,1,"2019.09.25",0,0
268053,1,"2019.09.27",0,0
268053,1,"2019.09.30",0,0
268053,1,"2019.10.02",0,0
268053,1,"2019.10.04",0,0
268053,1,"2019.10.07",0,0
268053,1,"2019.10.09",0,0
268053,1,"2019.10.11",0,0
268053,1,"2019.10.14",0,0
268053,1,"2019.10.16",0,0
268053,1,"2019.10.18",0,0
268053,1,"2019.10.21",0,0
268053,1,"2019.10.23",0,0
268053,1,"2019.10.25",0,0
268053,1,"2019.10.28",0,0
268053,1,"2019.10.30",0,0
268053,1,"2019.11.01",0,0
268053,1,"2019.11.04",0,0
268053,1,"2019.11.06",0,0
268053,1,"2019.11.08",0,0
268053,1,"2019.11.11",0,0
268053,1,"2019.11.13",0,0
268053,1,"2019.11.15",0,0
268053,1,"2019.11.18",0,0
268053,1,"2019.11.20",0,0
268053,1,"2019.11.22",0,0
268053,1,"2019.11.25",0,0
268053,1,"2019.11.27",0,0
268053,1,"2019.11.29",0,0
968233,1,"2019.09.16",0,0
968233,1,"2019.09.18",0,0
968233,1,"2019.09.20",0,0
968233,1,"2019.09.23",0,0
968233,1,"2019.09.25",0,0
968233,1,"2019.09.27",0,0
968233,1,"2019.09.30",0,0
968233,1,"2019.10.02",0,0
968233,1,"2019.10.04",0,0
968233,1,"2019.10.07",0,0
968233,1,"2019.10.09",0,0
968233,1,"2019.10.11",0,0
968233,1,"2019.10.14",0,0
968233,1,"2019.10.16",0,0
968233,1,"2019.10.18",0,0
968233,1,"2019.10.21",0,0
968233,1,"2019.10.23",0,0
968233,1,"2019.10.25",0,0
968233,1,"2019.10.28",2,45
968233,1,"2019.10.30",0,0
968233,1,"2019.11.01",0,0
968233,1,"2019.11.04",0,0
968233,1,"2019.11.06",0,0
968233,1,"2019.11.08",0,0
968233,1,"2019.11.11",0,0
968233,1,"2019.11.13",0,0
968233,1,"2019.11.15",0,0
968233,1,"2019.11.18",0,0
968233,1,"2019.11.20",0,0
968233,1,"2019.11.22",0,0
968233,1,"2019.11.25",0,0
968233,1,"2019.11.27",0,0
968233,1,"2019.11.29",0,0
879595,1,"2019.09.16",4,100
879595,1,"2019.09.18",1,21
879595,1,"2019.09.20",1,100
879595,1,"2019.09.23",0,0
879595,1,"2019.09.25",0,0
879595,1,"2019.09.27",1,100
879595,1,"2019.09.30",0,0
879595,1,"2019.10.02",1,100
879595,1,"2019.10.04",0,0
879595,1,"2019.10.07",0,0
879595,1,"2019.10.09",0,0
879595,1,"2019.10.11",0,0
879595,1,"2019.10.14",0,0
879595,1,"2019.10.16",0,0
879595,1,"2019.10.18",0,0
879595,1,"2019.10.21",0,0
879595,1,"2019.10.23",0,0
879595,1,"2019.10.25",0,0
879595,1,"2019.10.28",0,0
879595,1,"2019.10.30",0,0
879595,1,"2019.11.01",0,0
879595,1,"2019.11.04",5,100
879595,1,"2019.11.06",0,0
879595,1,"2019.11.08",0,0
879595,1,"2019.11.11",0,0
879595,1,"2019.11.13",0,0
879595,1,"2019.11.15",0,0
879595,1,"2019.11.18",0,0
879595,1,"2019.11.20",0,0
879595,1,"2019.11.22",0,0
879595,1,"2019.11.25",0,0
879595,1,"2019.11.27",0,0
879595,1,"2019.11.29",1,62
759128,1,"2019.09.16",0,0
759128,1,"2019.09.18",0,0
759128,1,"2019.09.20",0,0
759128,1,"2019.09.23",0,0
759128,1,"2019.09.25",0,0
759128,1,"2019.09.27",0,0
759128,1,"2019.09.30",0,0
759128,1,"2019.10.02",1,100
759128,1,"2019.10.04",0,0
759128,1,"2019.10.07",0,0
759128,1,"2019.10.09",0,0
759128,1,"2019.10.11",0,0
759128,1,"2019.10.14",0,0
759128,1,"2019.10.16",0,0
759128,1,"2019.10.18",0,0
759128,1,"2019.10.21",0,0
759128,1,"2019.10.23",0,0
759128,1,"2019.10.25",0,0
759128,1,"2019.10.28",0,0
759128,1,"2019.10.30",1,5
759128,1,"2019.11.01",1,100
759128,1,"2019.11.04",1,74
759128,1,"2019.11.06",1,86
759128,1,"2019.11.08",0,0
759128,1,"2019.11.11",0,0
759128,1,"2019.11.13",0,0
759128,1,"2019.11.15",0,0
759128,1,"2019.11.18",1,100
759128,1,"2019.11.20",1,54
759128,1,"2019.11.22",0,0
759128,1,"2019.11.25",0,0
759128,1,"2019.11.27",0,0
759128,1,"2019.11.29",0,0
592634,1,"2019.09.16",1,12
592634,1,"2019.09.18",1,87
592634,1,"2019.09.20",4,100
592634,1,"2019.09.23",1,100
592634,1,"2019.09.25",2,100
592634,1,"2019.09.27",4,100
592634,1,"2019.09.30",1,100
592634,1,"2019.10.02",1,100
592634,1,"2019.10.04",4,100
592634,1,"2019.10.07",3,74
592634,1,"2019.10.09",4,100
592634,1,"2019.10.11",1,33
592634,1,"2019.10.14",1,4
592634,1,"2019.10.16",1,61
592634,1,"2019.10.18",1,11
592634,1,"2019.10.21",0,0
592634,1,"2019.10.23",1,4
592634,1,"2019.10.25",1,6
592634,1,"2019.10.28",1,95
592634,1,"2019.10.30",1,22
592634,1,"2019.11.01",2,50
592634,1,"2019.11.04",0,0
592634,1,"2019.11.06",2,52
592634,1,"2019.11.08",2,40
592634,1,"2019.11.11",5,100
592634,1,"2019.11.13",1,34
592634,1,"2019.11.15",1,25
592634,1,"2019.11.18",1,35
592634,1,"2019.11.20",2,37
592634,1,"2019.11.22",2,72
592634,1,"2019.11.25",6,100
592634,1,"2019.11.27",2,100
592634,1,"2019.11.29",1,94
652659,1,"2019.09.16",0,0
652659,1,"2019.09.18",0,0
652659,1,"2019.09.20",1,100
652659,1,"2019.09.23",1,100
652659,1,"2019.09.25",2,100
652659,1,"2019.09.27",2,100
652659,1,"2019.09.30",4,100
652659,1,"2019.10.02",3,100
652659,1,"2019.10.04",2,100
652659,1,"2019.10.07",0,0
652659,1,"2019.10.09",2,100
652659,1,"2019.10.11",1,26
652659,1,"2019.10.14",3,100
652659,1,"2019.10.16",4,100
652659,1,"2019.10.18",1,8
652659,1,"2019.10.21",0,0
652659,1,"2019.10.23",0,0
652659,1,"2019.10.25",0,0
652659,1,"2019.10.28",0,0
652659,1,"2019.10.30",1,27
652659,1,"2019.11.01",3,100
652659,1,"2019.11.04",0,0
652659,1,"2019.11.06",0,0
652659,1,"2019.11.08",0,0
652659,1,"2019.11.11",0,0
652659,1,"2019.11.13",1,100
652659,1,"2019.11.15",1,100
652659,1,"2019.11.18",1,31
652659,1,"2019.11.20",1,16
652659,1,"2019.11.22",2,100
652659,1,"2019.11.25",1,34
652659,1,"2019.11.27",1,100
652659,1,"2019.11.29",1,100
839952,1,"2019.09.16",0,0
839952,1,"2019.09.18",1,5
839952,1,"2019.09.20",0,0
839952,1,"2019.09.23",0,0
839952,1,"2019.09.25",0,0
839952,1,"2019.09.27",0,0
839952,1,"2019.09.30",1,94
839952,1,"2019.10.02",1,100
839952,1,"2019.10.04",1,100
839952,1,"2019.10.07",2,100
839952,1,"2019.10.09",4,66
839952,1,"2019.10.11",2,85
839952,1,"2019.10.14",2,91
839952,1,"2019.10.16",1,100
839952,1,"2019.10.18",0,0
839952,1,"2019.10.21",0,0
839952,1,"2019.10.23",0,0
839952,1,"2019.10.25",0,0
839952,1,"2019.10.28",0,0
839952,1,"2019.10.30",0,0
839952,1,"2019.11.01",0,0
839952,1,"2019.11.04",0,0
839952,1,"2019.11.06",0,0
839952,1,"2019.11.08",0,0
839952,1,"2019.11.11",0,0
839952,1,"2019.11.13",0,0
839952,1,"2019.11.15",0,0
839952,1,"2019.11.18",0,0
839952,1,"2019.11.20",0,0
839952,1,"2019.11.22",0,0
839952,1,"2019.11.25",0,0
839952,1,"2019.11.27",0,0
839952,1,"2019.11.29",0,0
673725,1,"2019.09.16",0,0
673725,1,"2019.09.18",0,0
673725,1,"2019.09.20",0,0
673725,1,"2019.09.23",0,0
673725,1,"2019.09.25",0,0
673725,1,"2019.09.27",0,0
673725,1,"2019.09.30",0,0
673725,1,"2019.10.02",0,0
673725,1,"2019.10.04",0,0
673725,1,"2019.10.07",2,80
673725,1,"2019.10.09",0,0
673725,1,"2019.10.11",0,0
673725,1,"2019.10.14",0,0
673725,1,"2019.10.16",0,0
673725,1,"2019.10.18",0,0
673725,1,"2019.10.21",0,0
673725,1,"2019.10.23",0,0
673725,1,"2019.10.25",0,0
673725,1,"2019.10.28",0,0
673725,1,"2019.10.30",0,0
673725,1,"2019.11.01",0,0
673725,1,"2019.11.04",0,0
673725,1,"2019.11.06",0,0
673725,1,"2019.11.08",0,0
673725,1,"2019.11.11",0,0
673725,1,"2019.11.13",0,0
673725,1,"2019.11.15",0,0
673725,1,"2019.11.18",0,0
673725,1,"2019.11.20",0,0
673725,1,"2019.11.22",0,0
673725,1,"2019.11.25",0,0
673725,1,"2019.11.27",0,0
673725,1,"2019.11.29",0,0
148917,1,"2019.09.16",0,0
148917,1,"2019.09.18",0,0
148917,1,"2019.09.20",3,79
148917,1,"2019.09.23",3,93
148917,1,"2019.09.25",2,100
148917,1,"2019.09.27",5,100
148917,1,"2019.09.30",3,100
148917,1,"2019.10.02",3,84
148917,1,"2019.10.04",4,96
148917,1,"2019.10.07",2,100
148917,1,"2019.10.09",2,100
148917,1,"2019.10.11",1,20
148917,1,"2019.10.14",2,100
148917,1,"2019.10.16",0,0
148917,1,"2019.10.18",2,25
148917,1,"2019.10.21",1,1
148917,1,"2019.10.23",0,0
148917,1,"2019.10.25",0,0
148917,1,"2019.10.28",1,100
148917,1,"2019.10.30",0,0
148917,1,"2019.11.01",2,100
148917,1,"2019.11.04",1,78
148917,1,"2019.11.06",0,0
148917,1,"2019.11.08",0,0
148917,1,"2019.11.11",0,0
148917,1,"2019.11.13",0,0
148917,1,"2019.11.15",0,0
148917,1,"2019.11.18",4,91
148917,1,"2019.11.20",5,100
148917,1,"2019.11.22",1,100
148917,1,"2019.11.25",1,99
148917,1,"2019.11.27",2,100
148917,1,"2019.11.29",3,100
410350,1,"2019.09.16",1,2
410350,1,"2019.09.18",2,100
410350,1,"2019.09.20",1,82
410350,1,"2019.09.23",1,100
410350,1,"2019.09.25",3,100
410350,1,"2019.09.27",0,0
410350,1,"2019.09.30",0,0
410350,1,"2019.10.02",0,0
410350,1,"2019.10.04",0,0
410350,1,"2019.10.07",0,0
410350,1,"2019.10.09",0,0
